series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				19601	29321	42314	61484	89761	123469	149406	175274	206000	242100	284428	318915	353001	280888.8	2015	353001	Superintendencia General de Electricidad y Telecomunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						180	180	180	180	180	1186	1346	1480	3518	3881	3799	2804.8	2015	3799	La Société Anonyme de Télécommunications de la République de Guinée Equatoriale	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				57	35	61	261	1036	1496	3498	4107	6353	8535	238067	471285	478000	240448	2015	478000	Ministry of Communications and Information Technology	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP									44	70	118	141	185	146	200		168	2014	200	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		17474	46500	90300	138677	179200	246800	264949	294660	313625	347883	348946	349507	360948	371009	384129	362907.8	2015	384129	Estonian Technical Regulatory Authority	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		54	114	394	3134	5868	13128	14463	14878	15882	16179	16057	16324	16700	17302	17867	16850	2015	17867	Post and Telecom Authority	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP							319	618	888	1140	1174	1209	1229	1296	1413	2000	1429.4	2015	2000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						7000	8500	11500	13031	12830	23250	23250	13516	10927	12427	12734	14570.8	2015	12734	Ministry of Communications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	35000	134000	273500	491100	8e+05	1174200	1429000	1617000	1618000	1565600	1559400	1606000	1647600	1720200	1758500	1729897	1692439.4	2015	1729897	Finnish Communications Regulatory Authority (FICORA)	
