series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	CON_USD	0.080415	0.663144	2.096088	1.041286	0.558883	0.743484	0.636968	0.793906	0.761917	0.894652	0.7661854	2015	0.894652		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	356	79.3608464	22.34642074	IND	India	1	ANNUAL	CON_USD	1.074668	2.164343	13.587374	16.056157	20.970594	18.672741	17.922197	21.285841	17.174798	15.86151	18.1834174	2015	15.86151		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	CON_USD	52.18534	61.474441	46.726094	57.591242	63.705486	57.328909	63.537615	72.730977	69.762688	65.795034	65.8310446	2015	65.795034		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	CON_USD	0.501058	0.470668	2.523732	6.648893	3.83572	5.67061	6.669806	6.713983	6.211278	5.66949	6.1870334	2015	5.66949		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	CON_USD	0.895672	149.873632	156.337139	9.184603	7.606862	11.08168	11.084316	6.850575	3.310929	5.32431	7.530362	2015	5.32431		
