series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2002	2006	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	100	25.23763153	42.75731323	BGR	Bulgaria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	100	25.23763153	42.75731323	BGR	Bulgaria	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	104	96.51752295	21.19332882	MMR	Myanmar	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	104	96.51752295	21.19332882	MMR	Myanmar	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	108	29.89080992	-3.366387428	BDI	Burundi	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	108	29.89080992	-3.366387428	BDI	Burundi	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP			45230	2014	45230	ILOSTAT - ES - Establishment survey on wages	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	112	28.04940161	53.54193075	BLR	Belarus	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP			37615	2014	37615	ILOSTAT - ES - Establishment survey on wages	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	112	28.04940161	53.54193075	BLR	Belarus	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP			33391	2014	33391	ILOSTAT - ES - Establishment survey on wages	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	116	104.922836	12.71163737	KHM	Cambodia	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	116	104.922836	12.71163737	KHM	Cambodia	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	120	12.7419827	5.692387031	CMR	Cameroon	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	120	12.7419827	5.692387031	CMR	Cameroon	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	124	-101.6575058	57.72360191	CAN	Canada	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	124	-101.6575058	57.72360191	CAN	Canada	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	132	-23.63544151	15.07791834	CPV	Cabo Verde	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
