series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT	8.8148441976288	13.2452280386761	18.4248927671241	23.6204198529629	30.3196130921568	38.5436432637571	39.39817430347	40.2744630071599	41.16	42.02	47.45	48.6	49.8	51	57.5	67.6	54.9	2015	67.6	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	3.7046923558769	4.4293906966665	6.8237257325842	7.8983929371639	8.8655534607044	11.4831977789344	14.8449283654589	17.66	20.82	27.72	31.4	38	42.32	45.9	49.58	54.2157663369785	46.0031532673957	2015	54.2157663369785	Oficina Nacional de Estadistica
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	1.4621885355646	2.6704436737671	4.2607969151976	4.460228344727	4.8344426375953	5.9942551609733	7.2	10.8	18.8	24.6	29.03	31.3668083587433	35.1351464545516	40.279121941	45.5903906666095	48.9404337892669	40.2623802420343	2015	48.9404337892669	Instituto Nacional de Estadistica y Censos
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	1.1773972691448	1.5	1.9	2.5	3.2	4.2	5.5	6.11	10.08	12.11	15.9	18.9	20.3213877242007	23.1093	24.7617121459061	26.915075328277	22.8014950396768	2015	26.915075328277	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT	0.1323546651238	0.1652604228831	0.321197997152	0.5205242720468	0.843930284607	1.1497896706181	1.2791935963569	1.5571230594354	1.82	2.13	6	11.5	13.9431821913076	16.4	18.86	21.319999985207	16.4046364353029	2015	21.319999985207	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	0.0152637672083	0.0371623810687	0.0724022618698	0.1058116588026	0.1553345207947	0.2196598189995	0.3105926568562	0.37	0.45	0.54	0.75	1.1	2.9	4.6	7.7	11.6	5.58	2015	11.6	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT	0.1367119411045	0.157815289303	0.2270901376267					0.41	0.47	0.54	0.61	0.7	0.8	0.9	0.99	1.083733115675	0.894746623135	2015	1.083733115675	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT	28.5769538105646	31.5274897673756	41.52	45.32	53.2	61.45	63.51	66.19	70.58	72.5	74.1	76.5	78.3899259259259	80.0043	84.24	88.4066	81.5081651851852	2015	88.4066	Eurostat.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT	32.916392363397	43.2469835228993	53.2992218313613	58.9126409695337	66.5335994677312	67.9026317413939	69.359445124439	75.98	75.57	75.18	75.2	80.7321728	85.3351892392109	90	93.3	94.2	88.7134724078422	2015	94.2	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT	58.6206896551724	64.603876232574	64.1458474004051	64.0161725067385	67.3174015483002	84.005376344086	87.1021775544389	90.06	92.96	95.84	95.84	96.38	96.9230425709516	96.9	97.6	98.3050567595459	97.2216198660995	2015	98.3050567595459	ITU estimate.
