series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	5.21	2.32	0.63	4.59	5.88	5.29	5.74	3.51	1.51	-3.38	2.96	1.48	-1.29	-1.52	1.17	3.58	1.47	0.682	2016	1.47	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	2.7	1.98	1.24	0.12	0.17	-1.82	0.72	2.62	1.59	-0.86	-1.12	-0.3	1.38	3.55	3.19	1.65	1.41	2.236	2016	1.41	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT	3.56	0.84	-0.26	1.87	1.21	2.14	1.62	0.7	-2.09	-2.13	3.98	1.26	-0.22	-0.48	0.32	0.08	0.27	-0.00599999999999999	2016	0.27	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	4.1	0.86	3.55	-1.89	1	6.02	5.88	4.96	1.54	2.11	1.08	1.79	0.72	3.09	5.2	5.12	4.17	3.66	2016	4.17	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	-7.84	3.06	-0.67	2.42	-0.53	3.67	0.22	1.17	7.1	-1.97	3.32	5.64	4.05	3	0.73	-0.77	-3.63	0.676	2016	-3.63	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	1.65	1.51	1.34	-0.31	2.93	2.04	1.03	1.56	-0.99	-2.48	0.15	-0.15	-0.64	-0.36	0.26	1.44	1.12	0.364	2016	1.12	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT	16.42	56.96	14.14	9.37	33	11.72	3.81	8.68	6.2	-8.02	-7.27	-1.11	2.33	-9.74	-3.49	-10.07	-12.14	-6.622	2016	-12.14	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	-1.34	6.61	-2.86	-6.36	8.77	7.8	7.48	8.19	7.36	5.29	8.99	7.59	5.79	5.83	6.61	6.65	3.39	5.654	2016	3.39	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT	-7.33	3.31	-1.98	-7.68	-3.41	-1.76	-3.85	-1.08	-12.06	1.94	0.12	6.6	4.84	0.81	2.71	2.57	0.87	2.36	2016	0.87	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
