series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1995	2000	2005	2010	2012	2014	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	NUMBER	37885	41435	46389	46750	46750	46750	46750	46750	2016	46750	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	356	79.3608464	22.34642074	IND	India	1	ANNUAL	NUMBER	191449	241668	338637	369412	378841	382216	395001	385352.666666667	2016	395001	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	NUMBER	978	1044	1077	1350	1421	1421	1421	1421	2016	1421	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
