series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	FEMALE	NUMBER	63	63	63	70	70	70	70	70	105	105	109	109	109	155	151	151	151	149	151.4	2017	149	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	FEMALE	NUMBER	0	0	0	7	7	7	7	7	9	9	9	9	9	9	7	7	7	7	7.4	2017	7	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	FEMALE	NUMBER	10	11		11	11	11	11	15	20	20	17	17	18	18	18	17	17	20	18	2017	20	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	FEMALE	NUMBER	17	17	17	17	17	22	22	22	22	9	7	9	9	18	18	17	17	24	18.8	2017	24	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	FEMALE	NUMBER	1	1	7	7	7	7	7	5	5	5	4	4	4	4	5	5	5	5	4.8	2017	5	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	FEMALE	NUMBER																							
