series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT	6.47212647094	6.24845201238	5.8803282931	7.3948089455	7.31763016158	5.98565313357	4.89764457778	7.13061439284	6.50616288992	6.25707206277	6.66889275074	13.4522110423	9.70747435577	12.02867765551	11.93570295104	11.81298040359	12.70857075177	12.27763696139	11.2219571417	13.81095845405	9.10824516686	9.04396558776	12.55810785996	11.28341172433	9.13001112709	10.71767290769	10.546633841366	2015	10.71767290769		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	11.06131386861	12.06449953708	16.03866110489	5.99396087969	8.89958440975	6.46013756849	6.5107779412	6.0142069521	4.56078272463	4.18371052856	7.7320486979	9.94653085022	10.10002021631	10.23025750437	10.53802207631	8.54006619045	14.21117210203	13.21164436688	13.51329699455	15.10661455558	10.13179060251	9.78029417691	7.63084296052	9.84433856739	12.92346714349	22.33219127152	12.502226823966	2015	22.33219127152		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	31.22643748099	30.81419429901	24.08209432454	20.93317978408	19.08303409786	29.02947370409	22.56734015606	31.15108997187	33.52019188733	30.84884478219	25.61048718634	28.03199001529	30.07629524945	21.36869127417	24.82309822842	18.20281571882	20.37081991688	14.33625520361	9.74769986908	45.88320628278	6.22469134367	6.78392380564	7.30687408681	7.53534720592	7.78623838372	15.5232557365	8.987127843718	2015	15.5232557365		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	19.09055204389	25.6598853804	22.73463420042	21.10553177838	20.16107822652	12.62006858974	12.62139464985	7.96449276678	11.87229909617	7.75410633897	10.00233944608	11.8927597465	13.05679952232	16.13676803224	18.28648605832	14.3309173318	19.82235017116	14.8466519803	14.4288835438	21.74372303891	16.02532040298	16.38628270378	13.38594488564	12.25469617187	12.58818244295	11.88018000215	13.299057241278	2015	11.88018000215		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	37.64676315789	29.02729779017	22.71663325735	17.92777180192	15.2162267988	18.33433696233	41.49844895023	9.86356139789	9.7	13.9	14.51514535475	58.45163926055	53.02737356263	16.78570801818	10.70742626933	8.91089108911	7.98896831958	7.3209347183	2.59806586369	3.86529720202	5.67507207802	7.38101145137	8.43184424976	11.04514696219	13.75332393396	17.42374548558	11.607014416572	2015	17.42374548558		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT					0	0.10534272354	0	0.2226744235	2.92473322421	5.29842136987	3.59349987795																	2000	3.59349987795		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT	9.01033358418	9.33039244286	6.95117184085	5.84759724015	6.17129851351	3.73143599667	2.12860778987	1.53630034078	2.20765289992	2.62109209353	2.52841361295	1.80322872375	1.73491986258	1.25106451698	0.76616078014	0.84651946348	0.85212786963	1.56578288597	1.12814711205	1.68582961387	1.20443388528	8.0539888579	1.51393049306	1.74454572534	1.98784496428	2.10031947452	3.08012590302	2015	2.10031947452		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT																															
