geoAreaCode	sliceId	Freq	Location	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
332	2	ANNUAL	RURAL	NOTAP	-72.33640958	18.40426539	102	HTI	Haiti	2013-2017	1
334	1	ANNUAL	URBAN	NOTAP	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2013-2017	
334	2	ANNUAL	RURAL	NOTAP	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2013-2017	
336	1	ANNUAL	URBAN	NOTAP	12.45315803	41.90343751	250	VAT	Holy See	2013-2017	
336	2	ANNUAL	RURAL	NOTAP	12.45315803	41.90343751	250	VAT	Holy See	2013-2017	
340	1	ANNUAL	URBAN	NOTAP	-86.59974381	14.82243161	100	HND	Honduras	2013-2017	1
340	2	ANNUAL	RURAL	NOTAP	-86.59974381	14.82243161	100	HND	Honduras	2013-2017	1
344	1	ANNUAL	URBAN	NOTAP	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2013-2017	
344	2	ANNUAL	RURAL	NOTAP	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2013-2017	
348	1	ANNUAL	URBAN	NOTAP	19.41221519	47.1651448	103	HUN	Hungary	2013-2017	
348	2	ANNUAL	RURAL	NOTAP	19.41221519	47.1651448	103	HUN	Hungary	2013-2017	
352	1	ANNUAL	URBAN	NOTAP	-19.02116966	64.79134763	111	ISL	Iceland	2013-2017	
352	2	ANNUAL	RURAL	NOTAP	-19.02116966	64.79134763	111	ISL	Iceland	2013-2017	
356	1	ANNUAL	URBAN	NOTAP	79.3608464	22.34642074	106	IND	India	2013-2017	0
356	2	ANNUAL	RURAL	NOTAP	79.3608464	22.34642074	106	IND	India	2013-2017	0
360	1	ANNUAL	URBAN	NOTAP	113.9174	-0.994582204	104	IDN	Indonesia	2013-2017	
360	2	ANNUAL	RURAL	NOTAP	113.9174	-0.994582204	104	IDN	Indonesia	2013-2017	
364	1	ANNUAL	URBAN	NOTAP	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2013-2017	
364	2	ANNUAL	RURAL	NOTAP	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2013-2017	
368	1	ANNUAL	URBAN	NOTAP	43.76606267	33.05013795	110	IRQ	Iraq	2013-2017	
368	2	ANNUAL	RURAL	NOTAP	43.76606267	33.05013795	110	IRQ	Iraq	2013-2017	
372	1	ANNUAL	URBAN	NOTAP	-7.121425272	53.25274054	108	IRL	Ireland	2013-2017	
372	2	ANNUAL	RURAL	NOTAP	-7.121425272	53.25274054	108	IRL	Ireland	2013-2017	
376	1	ANNUAL	URBAN	NOTAP	34.62277992	31.06164552	112	ISR	Israel	2013-2017	
376	2	ANNUAL	RURAL	NOTAP	34.62277992	31.06164552	112	ISR	Israel	2013-2017	
380	1	ANNUAL	URBAN	NOTAP	12.57022427	42.79917282	113	ITA	Italy	2013-2017	
380	2	ANNUAL	RURAL	NOTAP	12.57022427	42.79917282	113	ITA	Italy	2013-2017	
384	1	ANNUAL	URBAN	NOTAP	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2013-2017	0
384	2	ANNUAL	RURAL	NOTAP	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2013-2017	0
388	1	ANNUAL	URBAN	NOTAP	-77.31068409	18.15616857	114	JAM	Jamaica	2013-2017	
388	2	ANNUAL	RURAL	NOTAP	-77.31068409	18.15616857	114	JAM	Jamaica	2013-2017	
392	1	ANNUAL	URBAN	NOTAP	139.2716103	36.6554539	117	JPN	Japan	2013-2017	
392	2	ANNUAL	RURAL	NOTAP	139.2716103	36.6554539	117	JPN	Japan	2013-2017	
398	1	ANNUAL	URBAN	NOTAP	66.65359159	48.01963494	118	KAZ	Kazakhstan	2013-2017	
398	2	ANNUAL	RURAL	NOTAP	66.65359159	48.01963494	118	KAZ	Kazakhstan	2013-2017	
400	1	ANNUAL	URBAN	NOTAP	37.13024774	30.65365973	116	JOR	Jordan	2013-2017	
400	2	ANNUAL	RURAL	NOTAP	37.13024774	30.65365973	116	JOR	Jordan	2013-2017	
404	1	ANNUAL	URBAN	NOTAP	37.86096816	0.534797278	119	KEN	Kenya	2013-2017	0.5
404	2	ANNUAL	RURAL	NOTAP	37.86096816	0.534797278	119	KEN	Kenya	2013-2017	0
408	1	ANNUAL	URBAN	NOTAP	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2013-2017	
408	2	ANNUAL	RURAL	NOTAP	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2013-2017	
410	1	ANNUAL	URBAN	NOTAP	127.8610254	36.45201023	124	KOR	Republic of Korea	2013-2017	
410	2	ANNUAL	RURAL	NOTAP	127.8610254	36.45201023	124	KOR	Republic of Korea	2013-2017	
414	1	ANNUAL	URBAN	NOTAP	47.49305029	29.53949468	125	KWT	Kuwait	2013-2017	
414	2	ANNUAL	RURAL	NOTAP	47.49305029	29.53949468	125	KWT	Kuwait	2013-2017	
417	1	ANNUAL	URBAN	NOTAP	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2013-2017	
417	2	ANNUAL	RURAL	NOTAP	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2013-2017	
418	1	ANNUAL	URBAN	NOTAP	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2013-2017	0
418	2	ANNUAL	RURAL	NOTAP	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2013-2017	0
422	1	ANNUAL	URBAN	NOTAP	35.89391711	33.92152458	127	LBN	Lebanon	2013-2017	
422	2	ANNUAL	RURAL	NOTAP	35.89391711	33.92152458	127	LBN	Lebanon	2013-2017	
426	1	ANNUAL	URBAN	NOTAP	28.25362195	-29.58041814	133	LSO	Lesotho	2013-2017	0
426	2	ANNUAL	RURAL	NOTAP	28.25362195	-29.58041814	133	LSO	Lesotho	2013-2017	0
428	1	ANNUAL	URBAN	NOTAP	26.42461876	56.64196636	136	LVA	Latvia	2013-2017	
428	2	ANNUAL	RURAL	NOTAP	26.42461876	56.64196636	136	LVA	Latvia	2013-2017	
430	1	ANNUAL	URBAN	NOTAP	-9.311879038	6.448381009	128	LBR	Liberia	2013-2017	0.5
430	2	ANNUAL	RURAL	NOTAP	-9.311879038	6.448381009	128	LBR	Liberia	2013-2017	0
434	1	ANNUAL	URBAN	NOTAP	18.0295985	27.04042819	129	LBY	Libya	2013-2017	
434	2	ANNUAL	RURAL	NOTAP	18.0295985	27.04042819	129	LBY	Libya	2013-2017	
438	1	ANNUAL	URBAN	NOTAP	9.552985019	47.14167005	131	LIE	Liechtenstein	2013-2017	
438	2	ANNUAL	RURAL	NOTAP	9.552985019	47.14167005	131	LIE	Liechtenstein	2013-2017	
440	1	ANNUAL	URBAN	NOTAP	23.90517807	55.33680309	134	LTU	Lithuania	2013-2017	0.5
