series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT	76.78	74.85	74.83	75.04	70.1	74.86	78.56	80.02	81.9	81.81	81.25	80.67	80.15	80.21	80.3	80.516	2014	80.3		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT	19.83	18.94	19.42	19.83	19.99	18.86	17.16	18.57	20.19	24.09	25.13	24.98	24.91	24.48	25.25	24.95	2014	25.25		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT	2.77	2.56	3.4	3.11	3.42	3.84	4.3	4.54	4.51	5.12	3.38	5	4.7	4.32	6.54	4.788	2014	6.54		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT	1.36	1.3	1.19	1.12	1.01	0.99	0.88	0.87	0.86	0.88	3.71	3.83	3.79	3.83	3.87	3.806	2014	3.87		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT	52.88	45.16	51.3	45.82	38.95	43.6	41.41	38.04	45.61	35.14	29.77	34.06	32.94	37.85	37.57	34.438	2014	37.57		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT	31.67	29.25	29.52	28.36	31.11	31.54	31.27	31.83	34.76	32.71	33.61	35.28	38.83	38.54	41.19	37.49	2014	41.19		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT	9.26	9.4	8.67	8.85	8.89	8.63	8.5	9.36	10.5	11.23	11.87	10.84	12.37	13.41	13.13	12.324	2014	13.13		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT	23.63	25.76	30.22	22.79	25.23	27.83	33.86	30.68	32.58	31.28	28.88	29.99	33.79	30.32	30.61	30.718	2014	30.61		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT	9.94	6.88	6.23	7.23	7.85	8.15	10.22	9.87	9.34	9.37	11.57	9.79	9.34	8.83	10.15	9.936	2014	10.15		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	PERCENT	31.44	31.68	32.44	32.88	33.62	33.09	33.01	32.52	33.14	33.31	34.43	34.44	34.07	34.01	34.15	34.22	2014	34.15		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	PERCENT	72.78	72.42	79.81	83.63	85.77	85.24	86.15	87.35	87.42	88.1	85.85	79.81	75.63	82.14	81.05	80.896	2014	81.05		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	PERCENT	47.25	53.15	56.76	55.33	54.53	41.48	37.22	36.22	36.3	36.72	39.15	31.54	28.69	34.98	31.89	33.25	2014	31.89		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	PERCENT	63.13	59.64	60.68	60.47	59.85	60.04	59.27	56.73	55.75	53.4	50.17	49.7	49.83	51.99	48.06	49.95	2014	48.06		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	PERCENT	17.52	17.12	21.8	21.68	23.08	22.78	18.08	20.48	20.1	16.54	14.06	15.42	12.24	11.61	10.53	12.772	2014	10.53		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	PERCENT	3.7	3.9	4.41	5.06	5.83	6.76	7.75	9.41	8.59	9.63	10.29	11.39	12.02	12.09	13.38	11.834	2014	13.38		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	PERCENT	71.62	69.31	65.68	64.47	62.37	61.43	58.58	54.53	55.91	49.99	49.86	48.03	44.34	44.01	45.22	46.292	2014	45.22		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	PERCENT	4.85	5.23	3.81	3.93	3.75	2.57	2.18	3.18	3	4.23	2.71	2.89	2.84	2.87	2.95	2.852	2014	2.95		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	PERCENT	7.52	6.81	7.02	7.28	7.54	7.72	8.21	7.92	8.11	8.92	11.09	11.09	13.86	16.29	16.09	13.684	2014	16.09		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	PERCENT	7.32	6.38	7.33	7.32	6.25	6.51	6.29	6.27	6.3	6.37	7.74	8.37	8.3	9.38	10.66	8.89	2014	10.66		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	PERCENT	9.27	9.23	9.3	9.27	9.39	9.39	9.21	8.8	9.49	9.3	9.35	10.02	10.13	9.72	9.88	9.82	2014	9.88		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	PERCENT	0.85	0.79	0.8	0.76	1.58	2.36	2.35	2.39	2.54	3.21	3.52	4.17	3.97	4.73	4.55	4.188	2014	4.55		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	PERCENT	62.74	61.39	60.54	59.01	57.55	57.33	57.9	57.03	60.78	58.3	66.59	66.42	66.22	64.98	59.9	64.822	2014	59.9		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	PERCENT	85.62	84.93	84.38	83.6	83.13	82.6	82.06	81.52	81.58	81.24	79.1	77.52	78.45	80.37	80.01	79.09	2014	80.01		
