series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	60	-64.78155012	32.27881922	BMU	Bermuda	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	60	-64.78155012	32.27881922	BMU	Bermuda	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	60	-64.78155012	32.27881922	BMU	Bermuda	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	60	-64.78155012	32.27881922	BMU	Bermuda	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	64	90.45098484	27.39598568	BTN	Bhutan	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	64	90.45098484	27.39598568	BTN	Bhutan	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	64	90.45098484	27.39598568	BTN	Bhutan	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	64	90.45098484	27.39598568	BTN	Bhutan	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	18+	ANNUAL	FEMALE	NUMBER	374	2014	374		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	<18Y	ANNUAL	MALE	NUMBER	139	2014	139		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	18+	ANNUAL	MALE	NUMBER	164	2014	164		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	4	<18Y	ANNUAL	FEMALE	NUMBER	309	2014	309		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	72	23.81380223	-22.18810073	BWA	Botswana	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	72	23.81380223	-22.18810073	BWA	Botswana	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	72	23.81380223	-22.18810073	BWA	Botswana	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	72	23.81380223	-22.18810073	BWA	Botswana	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	<18Y	ANNUAL	MALE	NUMBER					
