series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	METONS	1.42	1.73	2.02	2.28	2.43	2.68	3.24	3.79	3.83	4.19	4.55	4.68	4.9	5.23	5.74	5.02	2014	5.74	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	METONS	50.75	52.34	52.05	57.45	51.79	48.44	56.37	51.61	48.63	46.9	47.22	42.03	36.83	38.62	34.51	39.842	2014	34.51	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	METONS	18.28	17.83	19.19	16.83	15.54	17.32	18.49	18.54	18.72	18.38	19.17	19.4	19.94	19.69	19.26	19.492	2014	19.26	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	METONS	18.13	19.28	19.8	19.59	22.21	23.92	25.42	26.09	26.15	28.77	32.05	32.84	34.19	35.87	38.73	34.736	2014	38.73	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	METONS	5.17	5.51	5.53	5.91	5.93	6.25	6.52	6.92	6.14	6.09	5.82	6.01	6.02	5.73	5.88	5.892	2014	5.88	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	METONS	3.2	4.04	4.21	4.57	4.8	4.49	4.8	5.39	5.87	5.99	5.96	6.87	7.27	8.5	9.13	7.546	2014	9.13	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	METONS	0.61	0.67	0.66	0.67	0.66	0.58	0.5	0.49	0.43	0.45	0.48	0.51	0.55	0.55	0.56	0.53	2014	0.56	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	METONS	14.51	14.97	14.57	16.56	16.62	16.82	15.53	19.34	17.76	14.76	18.65	17.71	16.44	18.86	17.52	17.836	2014	17.52	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	METONS	54.55	60.51	62.87	71.14	67.04	54.8	66.3	64.31	55.9	53.5	61.85	54.44	48.76	49.36	45.25	51.932	2014	45.25	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	METONS	364.55	368.08	362.4	368.15	368.95	370.42	360.93	352.86	349.14	333.41	340.08	310.45	311.7	317.13	285.68	313.008	2014	285.68	IEA/OECD CO2 emissions from fuel combustion, 2016	C
