series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	METONS	37280000	39920000	40250000	44230000	44110000	47950000	48890000	51060000	49890000	49160000	49380000	49676000	2010	49380000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	METONS	20020000	19773000	21029000	23182000	22332000	19896000	19035000	21784000	22496000	22502000	21793000	21522000	2010	21793000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	METONS	101700000	74910000	78420000	67520000	64110000	73900000	69300000	76900000	77800000	74100000	84300000	76480000	2010	84300000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	METONS	9624000	9694000	9412000	9368000	10159000	10650000	11139000	12213000	11554000	12398000	13214000	12103600	2010	13214000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	METONS	20654000	22219000	22419000	23244000	23540000	24310000	27290000	28770000	29170000	31530000	31150000	29582000	2010	31150000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	METONS	106600000	122010000	128470000	141270000	160620000	172070000	153320000	150760000	153820000	138220000	129530000	145130000	2010	129530000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	METONS	9583000	8241000	8183000	9340000	10720000	13560000	14960000	15140000	11460000	8563000	8526000	11729800	2010	8526000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	356	79.3608464	22.34642074	IND	India	1	ANNUAL	METONS	2573499904	2696999936	2681499904	2789799936	2928999936	3143000064	3371000064	3772999936	3865999872	4103000064	4295000064	3881600000	2010	4295000064	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	METONS	590200000	608899968	745699968	8.47e+08	8.38e+08	8.71e+08	9.04e+08	9.56e+08	1.005e+09	1.086e+09	1.214e+09	1.033e+09	2010	1.214e+09	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	METONS	600800000	652800000	701200000	755100032	809500032	851600000	915699968	981400000	964300032	1.051e+09	1.029e+09	988280000	2010	1.029e+09	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	METONS	56430000	66200000	71640000	47230000	57960000	65200000	65540000	72560000	78830000	93410000	94100000	80888000	2010	94100000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	METONS	122500000	120980000	126900000	134800000	147900000	164600000	1.87e+08	196600000	167800000	137600000	1.18e+08	161400000	2010	1.18e+08	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	METONS	143600000	142900000	143900000	132170000	114040000	126370000	128950000	134760000	133800000	131260000	137700000	133294000	2010	137700000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	METONS	1.184e+09	1176999936	1.186e+09	1211000064	1255000064	1.312e+09	1.332e+09	1348999936	1.314e+09	1244999936	1160400000	1280079974.4	2010	1160400000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	METONS	21220000	20210000	20270000	21548000	20082000	20365000	19866000	19512000	18850000	19430000	19240000	19379600	2010	19240000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	METONS	22350000	22930000	23640000	2.4e+07	24330000	26150000	28080000	25760000	27750000	19350000	19680000	24124000	2010	19680000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	METONS	3143000064	2974000128	2808999936	2819000064	2948999936	3033999872	3019000064	2816999936	2822000128	2.564e+09	2560999936	2756600012.8	2010	2560999936	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	ANNUAL	METONS	1.81e+08	215400000	215900000	2.26e+08	231900000	243300000	2.77e+08	3.16e+08	283200000	306300000	292800000	295060000	2010	292800000	Environment Live	C
