series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	METONS	97124040	96770776	102224040	111331872	105813376	116294616	124444448	123028480	125666360	128353944	141939888	128686624	2010	141939888	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	METONS	340256	338874	343004	338759	399310	458752	437710	468141	461235	496592	485241	469783.8	2010	485241	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	METONS	172955744	178078784	182338128	195525904	197503936	193777584	194087808	233727168	227370208	198641984	160321392	202829712	2010	160321392	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	METONS	678970.62	666264.44	687949.5	716912.19	721893.88	778473.5	769148.62	829896	853008.62	859991.75	574066.25	777222.248	2010	574066.25	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	METONS	58843732	64127312	64437012	67317840	69730592	76090416	75693280	79414688	78005192	78116456	80988040	78443531.2	2010	80988040	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	METONS	41648732	41448868	43042652	51822600	49859288	51134808	47635764	51579680	53490752	46112324	49026848	49569073.6	2010	49026848	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	METONS	16751048	22412888	18276788	16819604	17171470	12254793	12487128	13498021	13085833	14224353	16888066	14036680.2	2010	16888066	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	METONS	12922859	12729400	12657711	12694118	13184606	13542766	13741482	14295938	14087947	14511587	14962983	14319987.4	2010	14962983	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	METONS	30198640	32539806	32205252	36283200	37683144	38563292	43345384	43533132	42042260	44194604	44183996	43459875.2	2010	44183996	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	METONS	123321400	139011792	133288600	137144848	160778192	181612288	153256160	122038296	136020224	113680160	106506432	126300254.4	2010	106506432	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	METONS	5962905	5586666	5356514	5613408	6164484	7110440.5	7995393	7212483.5	7038698.5	5674913.5	5472517	6678801.1	2010	5472517	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	356	79.3608464	22.34642074	IND	India	1	ANNUAL	METONS	3132977920	3244631040	3297524480	3469892352	3562116096	3751349760	4051404288	4418412544	4659318784	4854545920	5022333440	4601202995.2	2010	5022333440	Environment Live	C
